"Story","Title","Result","Date","Stability","Duration (s)"
"Basic navigation","Access web page accepting modal windows","SUCCESS","2020-10-26T23:48:13.238884+01:00[Europe/Madrid]","0.0","13.07"
"Basic navigation","Search for item and see suggestions","SUCCESS","2020-10-26T23:48:26.501075+01:00[Europe/Madrid]","0.0","12.2"
"Basic navigation","Search for item and go to results page","SUCCESS","2020-10-26T23:48:38.805983+01:00[Europe/Madrid]","0.0","13.11"
"Basic navigation","Add an item to the cart","SUCCESS","2020-10-26T23:48:52.018189+01:00[Europe/Madrid]","0.0","13.36"
