"Story","Title","Result","Date","Stability","Duration (s)"
"Basic navigation","Access web page accepting modal windows","SUCCESS","2020-10-26T21:14:25.516496+01:00[Europe/Madrid]","0.0","14.57"
"Basic navigation","Search for item and see suggestions","SUCCESS","2020-10-26T21:14:40.806307+01:00[Europe/Madrid]","0.0","14.08"
"Basic navigation","Search for item and go to results page","SUCCESS","2020-10-26T21:14:55.520502+01:00[Europe/Madrid]","0.0","15.5"
"Basic navigation","Add an item to the cart","PENDING","2020-10-26T21:15:11.641669+01:00[Europe/Madrid]","0.0","0.03"
